enrollee_id,target
8949,1
29725,0
11561,0
33241,1
666,0
21651,1
28806,0
402,1
27107,1
699,0
29452,1
23853,0
25619,0
5826,0
8722,0
6588,0
4167,0
5764,0
2156,1
11399,1
31972,0
19061,0
6491,0
7041,0
22767,0
14505,0
17139,1
28476,0
21538,1
10408,1
14928,0
22293,0
4324,0
26966,0
26494,0
4866,0
12726,0
10164,1
8612,0
24659,0
2547,0
13854,0
31654,1
13643,0
5590,1
22452,1
9006,1
25987,1
4476,1
25103,0
5568,1
2195,0
30533,0
28512,0
1023,0
12253,0
25296,0
13238,0
13478,1
18578,1
29975,0
26516,0
24690,0
8433,0
9572,0
5878,1
25695,0
9645,0
12730,0
4830,1
20970,0
17271,1
12731,0
10908,0
29117,0
3686,0
22683,0
22134,0
31765,0
31449,0
5987,0
21762,0
22070,0
25413,0
5902,0
28403,0
30937,0
28751,0
29290,0
32401,0
19128,0
29036,0
16869,1
10497,1
18099,0
12081,0
7364,0
11184,0
7016,1
8695,1
6172,1
14672,0
18257,0
24493,0
1180,0
28627,0
8168,0
10473,1
25349,0
5220,0
4789,0
11338,0
27963,1
8571,0
16303,0
20576,0
32966,1
21199,0
18819,0
14199,0
7666,0
13915,1
10555,0
16040,0
32826,0
13253,0
15637,0
28074,0
23012,0
16110,1
3921,0
24530,0
1924,0
32776,0
1907,0
23947,0
3116,0
24829,1
30488,0
1265,0
22098,1
13342,0
24608,0
20081,0
24796,0
7777,0
22718,0
1261,1
3396,0
4283,0
18998,0
2003,1
31786,0
8241,0
12154,0
23455,1
19882,0
28817,1
4656,0
7280,0
16903,0
13333,0
26241,0
12381,0
4064,1
32092,0
3766,0
30496,0
7189,0
29497,1
31593,0
12384,0
11986,0
31033,0
14835,0
3728,0
3024,0
23508,0
29457,0
12297,0
27708,1
3065,0
29226,0
5493,0
2891,0
32509,0
31841,1
907,0
29526,1
10956,0
26099,0
26163,0
4120,1
7335,0
706,0
9890,0
32683,0
27104,0
7731,0
31943,0
22899,1
33339,0
20866,0
21634,0
29529,1
4478,1
32095,0
18272,1
30098,0
23825,0
7672,1
5633,0
30695,0
5573,0
24936,0
397,0
31602,0
5278,0
16814,0
19249,0
9475,0
4865,0
20881,0
21563,0
25114,0
26002,1
8528,0
6141,0
27667,0
2821,0
21216,0
25495,0
20791,1
28015,0
10685,0
405,0
13891,0
33050,0
399,0
8202,1
8751,0
20744,0
25380,0
24617,0
12509,0
25473,0
13083,0
12454,0
3500,0
15922,0
6685,0
28838,0
24082,1
24846,1
1020,0
6189,0
16994,0
13135,0
14578,1
20732,1
16496,1
16537,0
17358,0
21933,0
7342,0
5630,0
24152,0
17762,1
4310,0
5142,0
22319,1
30912,0
20976,0
13150,0
12206,0
9407,0
13152,0
1069,0
25418,0
22689,0
5104,1
13994,1
27064,0
14598,0
9571,0
30854,0
25290,0
29640,0
17519,0
12111,0
6085,1
27277,0
31692,0
6052,0
18161,0
12934,0
30400,0
26419,0
4188,0
12117,0
28847,0
30472,1
32534,0
22395,1
4876,0
25182,0
26135,1
7517,1
2793,0
25174,0
5593,0
14003,1
33057,1
30484,0
14688,0
25459,0
23657,0
20322,0
22194,0
31401,0
14914,0
20376,1
27530,0
24701,0
6790,0
10102,0
10338,0
15701,0
21218,0
1586,0
9189,0
13788,0
10752,1
28406,0
26320,0
17460,0
18657,1
9384,0
4269,0
14935,0
28033,0
1568,0
15465,0
26233,0
24729,0
29440,1
32652,0
28556,0
12875,1
21078,0
30331,0
5899,0
22787,0
27435,0
2855,0
18385,0
27866,0
7328,1
24807,0
27113,1
6008,0
760,0
2990,1
28229,0
4162,0
27326,0
604,0
2194,0
21564,1
17432,0
13952,1
1988,0
23691,1
10481,0
8540,0
8806,1
15468,0
32747,0
1297,0
4075,1
12772,0
22517,0
26388,1
30676,0
18376,0
10970,0
29961,0
5136,0
20369,0
23505,0
11751,0
12038,1
28590,0
32699,0
10370,0
4095,0
5340,0
9217,0
15294,1
23901,0
5673,0
25421,0
20698,0
41,0
23636,0
9387,0
21466,1
9515,0
20743,1
25766,0
4626,0
4642,0
16178,0
1829,1
2377,0
8287,1
10529,0
30608,0
27546,0
32324,0
8442,0
8151,0
15796,1
9420,0
17083,0
16414,0
32340,0
18462,0
7996,0
30636,1
29982,0
29217,0
18454,0
22508,0
25969,0
28080,0
21134,1
30925,0
29000,0
26925,1
7696,0
25525,0
21989,0
10984,0
26543,0
32043,1
15343,0
30967,1
30191,0
13537,0
23185,0
1434,0
9600,1
25963,0
5141,0
657,0
29991,1
18759,0
23081,0
5731,0
20135,0
18620,0
24226,0
10092,0
1950,1
7909,1
11966,0
10017,0
28391,1
361,0
20797,0
25041,1
18476,1
26668,0
18586,0
17783,0
13256,1
6283,0
2586,0
15279,0
28468,0
17941,0
23384,0
4978,0
28641,0
28915,0
33367,1
14999,0
3999,0
9860,0
31153,1
26616,0
24366,1
19986,0
17786,0
1396,0
22954,0
14775,0
1563,0
29612,1
23856,0
30441,0
22742,0
30265,1
11545,0
2404,1
7243,0
19555,0
20486,0
17400,0
22005,0
10612,1
23365,1
13288,0
23430,0
30404,1
8930,0
3920,0
29841,1
16289,1
19889,0
11780,1
8489,1
32581,1
22420,0
28415,0
32260,0
21603,0
19702,1
17665,0
19612,1
18905,0
824,0
27275,1
14217,0
13209,0
9414,1
33242,0
24224,0
9684,0
8584,0
27003,0
17840,0
29723,0
33181,0
29288,1
3004,0
5828,0
22211,0
28193,0
26291,0
11739,0
20878,0
31156,0
21878,0
7009,0
31013,0
7145,0
2690,0
28829,1
28477,1
17107,0
17125,0
5911,0
24069,0
20803,0
3752,0
32925,0
27494,0
19818,1
22581,1
2629,0
20143,0
2478,1
25957,0
24981,0
27624,0
32355,0
12140,0
9743,1
3827,0
9338,0
10386,0
14901,0
6909,1
20751,0
13597,0
4498,1
29508,0
5205,1
32947,1
4766,0
428,0
16219,1
